Country,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Information,Information,Information,Information,Information,Information,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
Country,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Food,Food,Food,Food,Food,Food,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Other Manufacturing,Other Manufacturing,Other Manufacturing,Other Manufacturing,Other Manufacturing,Other Manufacturing,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Information,Information,Information,Information,Information,Information,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020,2015,2016,2017,2018,2019,2020
All Countries Total,5289071,5518644,6097690,5792290,5907424,6152301,180418,163529,162908,165305,160105,154291,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,693847,687625,806448,738377,857510,956176,81914,65560,93903,82419,79079,82267,151369,146878,139746,141848,210697,282111,34506,40364,44856,39852,57218,57169,45932,47961,55776,49844,63380,65437,97641,94305,144946,122911,139097,148626,17591,15322,18033,16364,18103,25455,62087,75646,87292,83444,87195,83137,202807,201589,221896,201695,202741,211974,225217,235184,255235,229396,239788,239629,198689,218343,240143,292489,292274,299826,118271,118825,124044,134570,141437,144189,719608,706103,781180,894352,877188,874239,117646,139709,140179,150399,151013,168341,2686477,2877387,3176645,2794202,2772907,2881761,348898,371939,410909,393200,415203,433849
Canada,361954,355394,371274,373604,404589,422160,10096,10955,13210,15162,11997,14502,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,110232,99651,99178,97480,102296,110181,12571,9055,9695,7301,7244,7323,17339,17230,17766,18262,19073,21855,7616,6927,5906,4655,5701,5646,5128,3437,4545,3957,3756,3638,7116,6371,7032,7315,8255,9061,3075,2740,2828,2784,2981,2822,7904,10092,11844,12342,14162,16313,49483,43800,39562,40864,41124,43523,25795,26891,28655,27584,27629,29436,7894,7945,11214,11823,13299,12390,3548,4369,4446,NA,5082,5599,52029,51802,55077,55985,67118,72337,7534,8741,8471,8231,8094,8816,97851,91773,95598,101507,115463,114929,46974,53268,55425,NA,53612,53970
Europe[1],3075567,3302727,3654095,3413031,3501659,3660470,31476,27432,22309,19567,20655,18643,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,316353,316815,382526,343142,432987,510123,41884,30844,56678,46482,41910,44151,75831,70273,62417,71932,132353,200901,17478,16692,21020,18009,34165,33252,24981,27211,32018,29888,42762,44808,34679,39262,50195,41541,45214,47688,7829,5920,7583,6835,8030,8223,19452,25807,30764,27687,29829,27617,94218,100806,121850,100768,98723,103484,78635,84907,91893,92321,90038,83917,136235,152936,164169,212637,212173,235786,57146,55426,49375,48125,56117,65618,344936,333881,384034,448473,420412,383746,68976,84669,84200,91264,88769,101937,1837991,2025018,2225549,1917082,1926801,1987561,203820,221643,250039,240420,253707,273138
  Austria,6508,7566,7987,6848,6921,4947,-5,NA,NA,NA,NA,NA,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,2015,2635,2396,2540,2532,2562,8,NA,NA,NA,NA,NA,-25,141,137,140,170,201,NA,NA,NA,NA,NA,NA,84,103,21,23,-11,5,1145,1137,1145,1293,1338,1384,NA,NA,NA,NA,282,205,182,293,-109,59,36,-7,271,320,496,292,191,220,837,1029,989,1149,1028,1100,55,111,NA,125,126,127,NA,NA,NA,NA,NA,13,1136,1499,944,561,90,90,363,470,504,492,473,193,586,402,400,816,1351,833,NA,NA,1527,696,558,NA
  Belgium,48096,49692,53645,59397,64633,69539,-10,NA,NA,NA,NA,NA,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,27416,30625,32790,33904,41401,43391,745,992,1369,1448,1519,1612,17513,14842,16208,17784,23681,25420,143,268,74,76,40,43,1804,699,1294,1276,800,866,3578,2913,2835,2838,2847,NA,6,NA,NA,NA,NA,179,637,671,531,655,773,714,2990,NA,NA,NA,NA,NA,6051,7009,7302,7301,4586,4497,800,883,701,617,682,669,NA,NA,NA,NA,NA,NA,4272,3363,3610,7272,7361,9579,1781,1465,1287,1404,1777,1990,1039,785,971,759,804,865,NA,NA,NA,NA,NA,NA
  Czech Republic,6343,4896,4844,5253,5456,5629,0,0,0,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,3752,3813,3650,3507,4227,4336,NA,NA,NA,NA,NA,NA,240,220,287,1152,1264,1324,112,168,170,228,209,204,126,131,200,147,134,127,494,267,275,255,408,379,107,NA,15,15,92,98,1541,1757,1242,96,113,130,NA,737,NA,NA,NA,NA,123,-31,-52,136,171,199,208,218,234,248,307,288,NA,NA,NA,NA,0,0,29,19,28,34,22,30,163,182,195,175,174,178,NA,NA,NA,NA,NA,NA,638,NA,NA,422,NA,NA
  Denmark,15794,16909,12107,10692,9108,9874,122,141,111,NA,NA,NA,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,2986,4025,3499,2736,1032,2336,268,NA,484,536,161,261,85,77,44,68,-643,146,NA,370,134,-97,400,NA,656,485,487,158,179,466,1044,769,175,204,215,321,1,1,1,NA,NA,8,0,0,(*),(*),(*),0,NA,NA,2174,NA,NA,NA,1011,870,1018,2077,2135,1764,681,856,847,1257,763,868,-3,-5,-1,-2,-3,-4,3347,2799,2670,NA,NA,NA,52,307,190,129,-159,-357,7322,7677,3549,2039,2295,2344,276,238,224,181,1066,1268
