"","Country","total_doses_delivered","quantity","Population","doses_per_million","quantity_per_million","Region"
"1","Afghanistan",1400000,0,38928341,35963.5156299109,0,NA
"2","Albania",1340000,0,2837743,472206.256873861,0,NA
"3","Algeria",10400000,0,43851043,237166.536722969,0,NA
"4","Angola",3700000,0,32866268,112577.430452402,0,NA
"5","Antigua",20000,0,97928,204231.680418266,0,NA
"6","Egypt",28248800,1.8e+08,102334403,276044.020113158,1758939.26893774,"Arab Middle East and North Africa"
"7","Argentina",59319600,2.64e+09,45376763,1307268.21567241,58179557.6736049,"South America"
"8","Armenia",1e+06,0,2963234,337469.130011332,0,NA
"9","Azerbaijan",5e+05,2.7e+08,10110116,49455.4167331018,26705925.035875,"West Asia"
"10","Bahrain",3e+05,0,1701583,176306.415849242,0,NA
"11","Bangladesh",82590000,5.9e+09,164689383,501489.522248074,35825017.3297449,"West Asia"
"12","Barbados",60000,0,287371,208789.335040766,0,NA
"13","Belarus",1900000,0,9398861,202152.154394027,0,NA
"14","Benin",203000,0,12123198,16744.7566227987,0,NA
"15","Bhutan",50000,0,771612,64799.4069558275,0,NA
"16","Bolivia",6e+06,0,11673029,514005.405109505,0,NA
"17","Bosnia and Herzegovina",1130000,4.2e+08,3280815,344426.613509143,128016971.392779,NA
"18","Botswana",804494,1e+08,2351625,342101.312921916,42523786.7432095,"Sub-Saharan Africa"
"19","Brazil",95914080,2.877e+10,212559409,451234.224122255,135350395.145293,"South America"
"20","Brunei",152000,0,437483,347442.072034799,0,NA
"21","Burkina Faso",4e+05,0,20903278,19135.7546888101,0,NA
"22","Burundi",5e+05,0,11890781,42049.3826267593,0,NA
"23","Cambodia",69606000,5.55e+09,16718971,4163294.4994043,331958228.768983,"East Asia"
"24","Cameroon",2e+05,0,26545864,7534.13036396178,0,NA
"25","Central African Republic",150000,0,4829764,31057.4181264343,0,NA
"26","Chad",2e+05,1.1e+08,16425859,12175.9233413607,6696757.83774839,"Sub-Saharan Africa"
"27","Chile",41294768,1.295e+10,19116209,2160196.51176653,677435573.130635,"South America"
"28","Colombia",13600000,3.7e+08,50882884,267280.447389735,7271600.40692662,"South America"
"29","Comoros",0,0,869595,0,0,NA
"30","Republic of Congo",1e+05,2.2e+08,5518092,18122.2060088886,39868853.2195549,NA
"31","Ivory Coast",1e+05,0,26378275,3790.99846369787,0,NA
"32","Cuba",250000,0,11326616,22071.9056777417,0,NA
"33","Democratic Republic of the Congo",4e+05,5.62e+09,89561404,4466.20957393656,62750244.5138086,"Sub-Saharan Africa"
"34","Djibouti",3e+05,5.1e+08,988002,303643.11003419,516193287.058123,"Sub-Saharan Africa"
"35","Dominica",20000,0,71991,277812.50434082,0,NA
"36","Dominican Republic",31636000,0,10847904,2916323.74327796,0,NA
"37","Ecuador",31400000,9.2e+08,17643060,1779736.6216518,52145149.4241929,"South America"
"38","El Salvador",10300000,0,6486201,1587986.55792505,0,NA
