"","Country","total_doses_delivered","quantity","Population","doses_per_million","quantity_per_million","Region","Industry","Subcategory","usa_quantity","usa_quantity_per_million"
"1","United Arab Emirates",3e+06,7.34e+09,9890400,303324.4358,742133786.3,"Arab Middle East and North Africa","All Industries Total","All Industries Total",1.02749e+11,10388760818.5715
"2","Israel",0,6.59e+09,9216900,0,714990940.6,"Arab Middle East and North Africa","All Industries Total","All Industries Total",1.52444e+11,16539617441.8731
"3","Saudi Arabia",0,2.32e+09,34813867,0,66640112.11,"Arab Middle East and North Africa","All Industries Total","All Industries Total",6.4201e+10,1844121481.82217
"4","Iraq",2250000,2.27e+09,40222503,55938.83603,56436070.13,"Arab Middle East and North Africa",NA,NA,NA,NA
"5","Jordan",196000,1.45e+09,10203140,19209.77268,142113114.2,"Arab Middle East and North Africa",NA,NA,NA,NA
"6","Oman",1e+05,1.21e+09,5106622,19582.41671,236947242.2,"Arab Middle East and North Africa",NA,NA,NA,NA
"7","Kuwait",0,6.5e+08,4270563,0,152204756.1,"Arab Middle East and North Africa",NA,NA,NA,NA
"8","Morocco",22500000,3.9e+08,36910558,609581.6812,10566082.47,"Arab Middle East and North Africa",NA,NA,NA,NA
"9","Egypt",28248800,1.8e+08,102334403,276044.0201,1758939.269,"Arab Middle East and North Africa","All Industries Total","All Industries Total",6.9075e+10,674992944.454857
"10","Algeria",10400000,0,43851043,237166.5367,0,"Arab Middle East and North Africa",NA,NA,NA,NA
"11","Bahrain",3e+05,0,1701583,176306.4158,0,"Arab Middle East and North Africa",NA,NA,NA,NA
"12","Lebanon",880000,0,6825442,128929.3792,0,"Arab Middle East and North Africa",NA,NA,NA,NA
"13","Libya",5060000,0,6871287,736397.7083,0,"Arab Middle East and North Africa",NA,NA,NA,NA
"14","Syria",3e+05,0,17500657,17142.21358,0,"Arab Middle East and North Africa",NA,NA,NA,NA
"15","Tunisia",1100000,0,11818618,93073.48795,0,"Arab Middle East and North Africa",NA,NA,NA,NA
"16","Palestine",6e+05,0,4803000,124921.9238,0,"Arab Middle East and North Africa",NA,NA,NA,NA
"17","Turkey",31400000,2.57e+09,84339067,372306.7034,30472236.55,"Arab Middle East and North Africa","All Industries Total","All Industries Total",2.5439e+10,301627714.235919
"18","Iran",85720000,6e+08,83992953,1020561.808,7143456.428,"Arab Middle East and North Africa",NA,NA,NA,NA
"19","Australia",0,2.21e+10,25687041,0,859577403.3,"Australia","All Industries Total","All Industries Total",9.88536e+11,38483840937.5373
"20","New Zealand",0,1.03e+09,5084300,0,202584426.6,"Australia","All Industries Total","All Industries Total",7.2004e+10,14162028204.4726
"21","Solomon Islands",50000,2e+08,686878,72793.13066,291172522.6,"Australia",NA,NA,NA,NA
"22","Samoa",0,1.1e+08,198410,0,554407539.9,"Australia",NA,NA,NA,NA
